,name,description,details,price,seller_id
0,"
            sweet crown cork in epoxy resin
        ","
                    This very rare crown cork was cast in epoxy resin in a two-casting process, elaborately sanded and completed. This is a real rarity and a must-have for fans. These crown corks are no longer produced.
                ",['\n\nHandmade\n'],"
                        $7.45
                    ","
                Friemelei
            "
1,"
            rare crown cork in epoxy resin
        ","
                    This very rare crown cork was cast in epoxy resin in a two-casting process, elaborately sanded and completed. This is a real rarity and a must-have for fans. These crown corks are no longer produced.
                ",['\n\nHandmade\n'],"
                        $7.45
                    ","
                Friemelei
            "
2,"
            sweet crown cork in epoxy resin
        ","
                    This rare crown cork was cast in epoxy resin in a two-casting process, elaborately sanded and completed.  This is a real rarity and a must-have for fans. These crown corks are no longer produced.
                ",['\n\nHandmade\n'],"
                        $7.45
                    ","
                Friemelei
            "
3,"
            Crown corks in epoxy resin
        ","
                    This very beautiful crown cork was cast in epoxy resin in a two-casting process, elaborately sanded and completed.  This is a real rarity and a must-have for fans.
                ",['\n\nHandmade\n'],"
                        $6.21
                    ","
                Friemelei
            "
4,"
            beautiful crown corks in resin
        ","
                    This very beautiful crown cork was cast in epoxy resin in a two-casting process, elaborately sanded and completed.  This is a real rarity and a must-have for fans.
                ",['\n\nHandmade\n'],"
                        $6.21
                    ","
                Friemelei
            "
5,"
            Very rare pendant / crown corks in resin
        ","
                    This very rare crown cork was cast in epoxy resin in a two-casting process, elaborately sanded and completed.  This is a real rarity and a must-have for fans.
                ",['\n\nHandmade\n'],"
                        $14.91
                    ","
                Friemelei
            "
6,"
            beautiful crown cork in epoxy resin
        ","
                    This very beautiful crown cork was cast in epoxy resin in a two-casting process, elaborately sanded and completed.  This is a real rarity and a must-have for fans.
                ",['\n\nHandmade\n'],"
                        $6.21
                    ","
                Friemelei
            "
7,"
            rare crown cork in epoxy resin
        ","
                    This very rare crown cork was cast in epoxy resin in a two-casting process, elaborately sanded and completed.  This is a real rarity and a must-have for fans. These crown corks are no longer produced.
                ",['\n\nHandmade\n'],"
                        $7.45
                    ","
                Friemelei
            "
8,"
            rare crown cork in epoxy resin
        ","
                    This very rare crown cork was cast in epoxy resin in a two-casting process, elaborately sanded and completed.  This is a real rarity and a must-have for fans. These crown corks are no longer produced.
                ",['\n\nHandmade\n'],"
                        $7.45
                    ","
                Friemelei
            "
9,"
            rare crown cork in epoxy resin
        ","
                    This very rare crown cork was cast in epoxy resin in a two-casting process, elaborately sanded and completed.  This is a real rarity and a must-have for fans. These crown corks are no longer produced.
                ",['\n\nHandmade\n'],"
                        $7.45
                    ","
                Friemelei
            "
10,"
            rare crown cork in epoxy resin
        ","
                    This very rare crown cork was cast in epoxy resin in a two-casting process, elaborately sanded and completed.  This is a real rarity and a must-have for fans. These crown corks are no longer produced.
                ",['\n\nHandmade\n'],"
                        $7.45
                    ","
                Friemelei
            "
11,"
            XL Large Bunny Console Bunny Console Shaker Shaker Keychain Pocket Pendant Casting Resin Kawaii Epoxy Keychain Wall Decoration
        ","
                    Large Hare Console Shaker 💗
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Epoxy, Resin\n\n\nRead the full description\n\n\n']","
Price:
                            $16.77
                        
                    ","
                yunasoracrafts
            "
12,"
            Cinna Cinnamon Instagram Frame Shaker Shaker Keychain Pocket Pendant Casting Resin Kawaii Epoxy Keychain
        ","
                    Sweet Instagram Frame Post Shaker 💗
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Epoxy, Resin\n\n\nRead the full description\n\n\n']","
Price:
                            $12.30
                        
                    ","
                yunasoracrafts
            "
13,"
            Cat Kitty Strawberry Smartphone Bunnyphone Shaker Shaker Keychain Pocket Pendant Casting Resin Kawaii Epoxy Keychain
        ","
                    Sweet Bunny Mobile Phone Shaker 💗
                ","['\n\nHandmade\n', '\n\n\n\nMaterials: Epoxy, Resin\n\n\nRead the full description\n\n\n']","
Price:
                            $13.42
                        
                    ","
                yunasoracrafts
            "
