Word Frequencies,Absolute Frequency,Relative Frequency
resin,400,0.013518080432578574
necklace,400,0.013518080432578574
length,352,0.011895910780669145
ring,350,0.011828320378506252
silver,332,0.011220006759040215
materials,300,0.01013856032443393
handmade,288,0.009733017911456573
chain,284,0.009597837107130787
gift,258,0.00871916187901318
please,248,0.008381209868198717
style,248,0.008381209868198717
gold,229,0.007739101047651234
size,223,0.007536329841162555
pendant,221,0.007468739438999662
made,218,0.007367353835755323
unique,214,0.007232173031429537
item,197,0.006657654613044948
jewelry,187,0.006319702602230483
0,183,0.006184521797904697
shipping,166,0.005610003379520108
plated,156,0.005272051368705644
wood,149,0.005035484961135519
1,147,0.004967894558972626
cm,147,0.004967894558972626
small,137,0.004629942548158162
earrings,135,0.004562352145995268
centimeters,131,0.004427171341669483
order,130,0.004393376140588037
adjustable,129,0.00435958093950659
color,129,0.00435958093950659
piece,115,0.00388644812436634
always,113,0.003818857722203447
also,112,0.0037850625211220006
beautiful,109,0.0036836769178776613
glass,108,0.003649881716796215
description,108,0.003649881716796215
brass,108,0.003649881716796215
mm,106,0.003582291314633322
closure,104,0.003514700912470429
options,104,0.003514700912470429
drop,103,0.0034809057113889827
article,103,0.0034809057113889827
approx,101,0.0034133153092260897
real,99,0.003345724907063197
make,98,0.0033119297059817504
may,97,0.003278134504900304
eye,96,0.003244339303818858
yes,95,0.003210544102737411
light,88,0.002973977695167286
2,88,0.002973977695167286
width,86,0.002906387293004393
green,85,0.002872592091922947
catcher,84,0.0028387968908415006
white,83,0.002805001689760054
desired,83,0.002805001689760054
menu,83,0.002805001689760054
personalized,81,0.0027374112875971613
copper,80,0.0027036160865157146
purchase,79,0.0026698208854342683
height,78,0.002636025684352822
find,78,0.002636025684352822
3,77,0.0026022304832713753
5,76,0.002568435282189929
x,76,0.002568435282189929
information,75,0.0025346400811084827
bracelet,75,0.0025346400811084827
grind,74,0.002500844880027036
new,73,0.0024670496789455897
type,72,0.0024332544778641434
nature,72,0.0024332544778641434
individualization,71,0.0023994592767826966
wire,70,0.0023656640757012504
loved,70,0.0023656640757012504
due,69,0.002331868874619804
blue,68,0.0022980736735383578
eu,68,0.0022980736735383578
beads,68,0.0022980736735383578
addition,68,0.0022980736735383578
art,67,0.002264278472456911
plastic,67,0.002264278472456911
comes,66,0.0022304832713754648
customs,65,0.0021966880702940185
hippie,65,0.0021966880702940185
boho,65,0.0021966880702940185
shop,65,0.0021966880702940185
import,65,0.0021966880702940185
taxes,65,0.0021966880702940185
ones,65,0.0021966880702940185
price,65,0.0021966880702940185
duties,64,0.0021628928692125717
happy,64,0.0021628928692125717
sterling,61,0.0020615072659682324
diameter,61,0.0020615072659682324
deliveries,61,0.0020615072659682324
weeks,61,0.0020615072659682324
free,60,0.002027712064886786
pretty,60,0.002027712064886786
millimeters,60,0.002027712064886786
wear,59,0.00199391686380534
produced,59,0.00199391686380534
section,59,0.00199391686380534
message,59,0.00199391686380534
production,58,0.001960121662723893
love,58,0.001960121662723893
hand,58,0.001960121662723893
leather,58,0.001960121662723893
stone,57,0.0019263264616424468
choose,56,0.0018925312605610003
ideal,55,0.0018587360594795538
germany,54,0.0018249408583981075
three,53,0.001791145657316661
bubbles,52,0.0017573504562352145
shown,52,0.0017573504562352145
band,52,0.0017573504562352145
rose,51,0.0017235552551537682
spoon,51,0.0017235552551537682
flower,51,0.0017235552551537682
quality,51,0.0017235552551537682
anywhere,51,0.0017235552551537682
process,50,0.0016897600540723217
high,50,0.0016897600540723217
clip,50,0.0016897600540723217
black,50,0.0016897600540723217
use,49,0.0016559648529908752
matching,49,0.0016559648529908752
19,49,0.0016559648529908752
used,49,0.0016559648529908752
manufacturing,48,0.001622169651909429
60,47,0.0015883744508279824
wooden,47,0.0015883744508279824
open,46,0.001554579249746536
slightly,46,0.001554579249746536
else,46,0.001554579249746536
flowers,46,0.001554579249746536
time,45,0.0015207840486650896
weight,45,0.0015207840486650896
home,45,0.0015207840486650896
option,44,0.001486988847583643
christmas,44,0.001486988847583643
bottom,44,0.001486988847583643
red,44,0.001486988847583643
favorite,44,0.001486988847583643
4,43,0.0014531936465021966
suitable,43,0.0014531936465021966
select,43,0.0014531936465021966
right,43,0.0014531936465021966
packed,43,0.0014531936465021966
recipient,43,0.0014531936465021966
cart,42,0.0014193984454207503
depth,42,0.0014193984454207503
place,42,0.0014193984454207503
shopping,42,0.0014193984454207503
value,41,0.0013856032443393038
bronze,41,0.0013856032443393038
cutlery,41,0.0013856032443393038
ear,41,0.0013856032443393038
wonderful,41,0.0013856032443393038
vat,40,0.0013518080432578573
etsy,40,0.0013518080432578573
special,40,0.0013518080432578573
invoice,40,0.0013518080432578573
one,40,0.0013518080432578573
gemstone,40,0.0013518080432578573
accordance,40,0.0013518080432578573
status,40,0.0013518080432578573
business,40,0.0013518080432578573
ship,40,0.0013518080432578573
925,40,0.0013518080432578573
epoxy,40,0.0013518080432578573
www,40,0.0013518080432578573
